"date","load"
2011-01-01,5593
2011-01-02,5991
2011-01-03,6101
2011-01-04,6061
2011-01-05,6099
2011-01-06,6100
2011-01-07,6244
2011-01-08,6496
2011-01-09,6501
2011-01-10,6312
2011-01-11,6259
2011-01-12,6286
2011-01-13,6275
2011-01-14,6411
2011-01-15,6656
2011-01-16,6648
2011-01-17,6441
2011-01-18,6374
2011-01-19,6389
2011-01-20,6364
2011-01-21,6488
2011-01-22,6722
2011-01-23,6700
2011-01-24,6477
2011-01-25,6396
2011-01-26,6397
2011-01-27,6359
2011-01-28,6468
2011-01-29,6687
2011-01-30,6651
2011-01-31,6416
2011-02-01,6321
2011-02-02,6309
2011-02-03,6258
2011-02-04,6352
2011-02-05,6553
2011-02-06,6504
2011-02-07,6261
2011-02-08,6156
2011-02-09,6132
2011-02-10,6070
2011-02-11,6149
2011-02-12,6331
2011-02-13,6271
2011-02-14,6026
2011-02-15,5913
2011-02-16,5879
2011-02-17,5809
2011-02-18,5874
2011-02-19,6038
2011-02-20,5970
2011-02-21,5727
2011-02-22,5611
2011-02-23,5570
2011-02-24,5496
2011-02-25,5549
2011-02-26,5696
2011-02-27,5624
2011-02-28,5388
