"date","load"
2011-01-01,6121
2011-01-02,5979
2011-01-03,6031
2011-01-04,5529
2011-01-05,5344
2011-01-06,5379
2011-01-07,5215
2011-01-08,5937
2011-01-09,6112
2011-01-10,5869
2011-01-11,5610
2011-01-12,5562
2011-01-13,5788
2011-01-14,6071
2011-01-15,6498
2011-01-16,6591
2011-01-17,6598
2011-01-18,6227
2011-01-19,6279
2011-01-20,6241
2011-01-21,6227
2011-01-22,6520
2011-01-23,6231
2011-01-24,6327
2011-01-25,6281
2011-01-26,6321
2011-01-27,6180
2011-01-28,5758
2011-01-29,6330
2011-01-30,6663
2011-01-31,6660
2011-02-01,6090
2011-02-02,5760
2011-02-03,5701
2011-02-04,6025
2011-02-05,6459
2011-02-06,6101
2011-02-07,6212
2011-02-08,5818
2011-02-09,5808
2011-02-10,5908
2011-02-11,5487
2011-02-12,5888
2011-02-13,5965
2011-02-14,5967
2011-02-15,5593
2011-02-16,5618
2011-02-17,5689
2011-02-18,5724
2011-02-19,5753
2011-02-20,5679
2011-02-21,5448
2011-02-22,5212
2011-02-23,5419
2011-02-24,5247
2011-02-25,5231
2011-02-26,5770
2011-02-27,5431
2011-02-28,5206
