"date","load"
2011-01-01,4653
2011-01-02,4630
2011-01-03,4439
2011-01-04,4088
2011-01-05,4197
2011-01-06,4094
2011-01-07,4545
2011-01-08,4597
2011-01-09,5262
2011-01-10,4986
2011-01-11,4861
2011-01-12,4440
2011-01-13,3960
2011-01-14,4823
2011-01-15,6094
2011-01-16,6169
2011-01-17,6711
2011-01-18,7269
2011-01-19,6995
2011-01-20,6060
2011-01-21,6268
2011-01-22,6590
2011-01-23,7373
2011-01-24,6821
2011-01-25,5842
2011-01-26,5184
2011-01-27,5959
2011-01-28,6961
2011-01-29,6891
2011-01-30,6246
2011-01-31,5954
2011-02-01,5979
2011-02-02,5985
2011-02-03,5960
2011-02-04,5708
2011-02-05,5563
2011-02-06,5450
2011-02-07,5209
2011-02-08,4746
2011-02-09,4556
2011-02-10,5097
2011-02-11,5914
2011-02-12,5536
2011-02-13,5177
2011-02-14,4732
2011-02-15,4576
2011-02-16,4365
2011-02-17,5080
2011-02-18,5663
2011-02-19,5657
2011-02-20,5278
2011-02-21,4524
2011-02-22,4435
2011-02-23,4547
2011-02-24,5103
2011-02-25,5462
2011-02-26,5458
2011-02-27,5312
2011-02-28,5139
