"date","load"
2011-01-01,6264
2011-01-02,6455
2011-01-03,6686
2011-01-04,6161
2011-01-05,5363
2011-01-06,5578
2011-01-07,4919
2011-01-08,5553
2011-01-09,5930
2011-01-10,6057
2011-01-11,5624
2011-01-12,5350
2011-01-13,5747
2011-01-14,5991
2011-01-15,6325
2011-01-16,6531
2011-01-17,6731
2011-01-18,6492
2011-01-19,6246
2011-01-20,6908
2011-01-21,6332
2011-01-22,6316
2011-01-23,6134
2011-01-24,6288
2011-01-25,6753
2011-01-26,6239
2011-01-27,6433
2011-01-28,5677
2011-01-29,5948
2011-01-30,6707
2011-01-31,6940
2011-02-01,6374
2011-02-02,5675
2011-02-03,5776
2011-02-04,5792
2011-02-05,6682
2011-02-06,6016
2011-02-07,6413
2011-02-08,6138
2011-02-09,5665
2011-02-10,6174
2011-02-11,5415
2011-02-12,5522
2011-02-13,5856
2011-02-14,6207
2011-02-15,6024
2011-02-16,5711
2011-02-17,5967
2011-02-18,5889
2011-02-19,5804
2011-02-20,5830
2011-02-21,5904
2011-02-22,5722
2011-02-23,5690
2011-02-24,5966
2011-02-25,5410
2011-02-26,6079
2011-02-27,5779
2011-02-28,5954
