"date","load"
2011-01-01,5165
2011-01-02,6132
2011-01-03,6409
2011-01-04,6291
2011-01-05,6283
2011-01-06,6253
2011-01-07,6202
2011-01-08,6394
2011-01-09,6558
2011-01-10,6471
2011-01-11,6294
2011-01-12,6265
2011-01-13,6205
2011-01-14,6132
2011-01-15,6310
2011-01-16,6514
2011-01-17,6402
2011-01-18,6165
2011-01-19,6091
2011-01-20,6000
2011-01-21,5874
2011-01-22,6006
2011-01-23,6310
2011-01-24,6205
2011-01-25,5854
2011-01-26,5691
2011-01-27,5562
2011-01-28,5314
2011-01-29,5277
2011-01-30,5572
2011-01-31,5580
2011-02-01,5217
2011-02-02,4969
2011-02-03,4711
2011-02-04,4391
2011-02-05,4296
2011-02-06,4461
2011-02-07,4440
2011-02-08,4233
2011-02-09,4088
2011-02-10,3950
2011-02-11,3824
2011-02-12,3849
2011-02-13,4017
2011-02-14,4026
2011-02-15,3917
2011-02-16,3863
2011-02-17,3795
2011-02-18,3734
2011-02-19,3818
2011-02-20,4001
2011-02-21,3997
2011-02-22,3862
2011-02-23,3787
2011-02-24,3686
2011-02-25,3602
2011-02-26,3670
2011-02-27,3782
2011-02-28,3724
