"date","load"
2011-01-01,5188
2011-01-02,5208
2011-01-03,5246
2011-01-04,5210
2011-01-05,5034
2011-01-06,5007
2011-01-07,5047
2011-01-08,5009
2011-01-09,4826
2011-01-10,4751
2011-01-11,4789
2011-01-12,4754
2011-01-13,4797
2011-01-14,4878
2011-01-15,4821
2011-01-16,4676
2011-01-17,4659
2011-01-18,4698
2011-01-19,4695
2011-01-20,4788
2011-01-21,4893
2011-01-22,4835
2011-01-23,4716
2011-01-24,4718
2011-01-25,4713
2011-01-26,4673
2011-01-27,4774
2011-01-28,4876
2011-01-29,4827
2011-01-30,4714
2011-01-31,4691
2011-02-01,4633
2011-02-02,4572
2011-02-03,4668
2011-02-04,4747
2011-02-05,4711
2011-02-06,4604
2011-02-07,4547
2011-02-08,4446
2011-02-09,4372
2011-02-10,4462
2011-02-11,4503
2011-02-12,4482
2011-02-13,4415
2011-02-14,4306
2011-02-15,4170
2011-02-16,4103
2011-02-17,4188
2011-02-18,4205
2011-02-19,4193
2011-02-20,4169
2011-02-21,4021
2011-02-22,3881
2011-02-23,3835
2011-02-24,3876
2011-02-25,3878
2011-02-26,3902
2011-02-27,3903
2011-02-28,3746
