"date","load"
2011-01-01,5131
2011-01-02,5261
2011-01-03,5339
2011-01-04,5555
2011-01-05,5578
2011-01-06,5366
2011-01-07,5203
2011-01-08,5231
2011-01-09,5344
2011-01-10,5481
2011-01-11,5513
2011-01-12,5505
2011-01-13,5443
2011-01-14,5326
2011-01-15,5326
2011-01-16,5400
2011-01-17,5479
2011-01-18,5492
2011-01-19,5505
2011-01-20,5434
2011-01-21,5304
2011-01-22,5301
2011-01-23,5354
2011-01-24,5407
2011-01-25,5406
2011-01-26,5404
2011-01-27,5328
2011-01-28,5197
2011-01-29,5199
2011-01-30,5234
2011-01-31,5259
2011-02-01,5254
2011-02-02,5237
2011-02-03,5160
2011-02-04,5039
2011-02-05,5036
2011-02-06,5056
2011-02-07,5054
2011-02-08,5048
2011-02-09,5006
2011-02-10,4922
2011-02-11,4827
2011-02-12,4819
2011-02-13,4832
2011-02-14,4803
2011-02-15,4772
2011-02-16,4681
2011-02-17,4607
2011-02-18,4535
2011-02-19,4527
2011-02-20,4517
2011-02-21,4449
2011-02-22,4364
2011-02-23,4213
2011-02-24,4227
2011-02-25,4229
2011-02-26,4207
2011-02-27,4153
2011-02-28,3990
