"date","load"
2011-01-01,4680
2011-01-02,4656
2011-01-03,4600
2011-01-04,4715
2011-01-05,4922
2011-01-06,4994
2011-01-07,5012
2011-01-08,5111
2011-01-09,5108
2011-01-10,5104
2011-01-11,5324
2011-01-12,5699
2011-01-13,5908
2011-01-14,6030
2011-01-15,6236
2011-01-16,6296
2011-01-17,6349
2011-01-18,6530
2011-01-19,6575
2011-01-20,6410
2011-01-21,6313
2011-01-22,6375
2011-01-23,6327
2011-01-24,6306
2011-01-25,6441
2011-01-26,6480
2011-01-27,6302
2011-01-28,6172
2011-01-29,6213
2011-01-30,6154
2011-01-31,6105
2011-02-01,6234
2011-02-02,6307
2011-02-03,6131
2011-02-04,5952
2011-02-05,5940
2011-02-06,5832
2011-02-07,5692
2011-02-08,5748
2011-02-09,5864
2011-02-10,5735
2011-02-11,5487
2011-02-12,5336
2011-02-13,5053
2011-02-14,4695
2011-02-15,4475
2011-02-16,4417
2011-02-17,4316
2011-02-18,4168
2011-02-19,4182
2011-02-20,4185
2011-02-21,4014
2011-02-22,3843
2011-02-23,3756
2011-02-24,3650
2011-02-25,3526
2011-02-26,3585
2011-02-27,3667
2011-02-28,3488
