"date","load"
2011-01-01,4715
2011-01-02,4515
2011-01-03,4206
2011-01-04,4123
2011-01-05,3998
2011-01-06,3752
2011-01-07,3653
2011-01-08,3787
2011-01-09,3782
2011-01-10,3652
2011-01-11,3627
2011-01-12,3612
2011-01-13,3494
2011-01-14,3469
2011-01-15,3654
2011-01-16,3705
2011-01-17,3592
2011-01-18,3567
2011-01-19,3562
2011-01-20,3452
2011-01-21,3424
2011-01-22,3607
2011-01-23,3667
2011-01-24,3551
2011-01-25,3511
2011-01-26,3501
2011-01-27,3388
2011-01-28,3344
2011-01-29,3507
2011-01-30,3578
2011-01-31,3457
2011-02-01,3391
2011-02-02,3361
2011-02-03,3234
2011-02-04,3158
2011-02-05,3258
2011-02-06,3294
2011-02-07,3119
2011-02-08,2963
2011-02-09,2849
2011-02-10,2724
2011-02-11,2709
2011-02-12,2811
2011-02-13,2780
2011-02-14,2602
2011-02-15,2566
2011-02-16,2568
2011-02-17,2542
2011-02-18,2585
2011-02-19,2693
2011-02-20,2657
2011-02-21,2506
2011-02-22,2493
2011-02-23,2496
2011-02-24,2472
2011-02-25,2514
2011-02-26,2607
2011-02-27,2566
2011-02-28,2434
