"date","load"
2011-01-01,3613
2011-01-02,3037
2011-01-03,2677
2011-01-04,2399
2011-01-05,2371
2011-01-06,2274
2011-01-07,2492
2011-01-08,2554
2011-01-09,3213
2011-01-10,3140
2011-01-11,3035
2011-01-12,2607
2011-01-13,2258
2011-01-14,2637
2011-01-15,4185
2011-01-16,4768
2011-01-17,5953
2011-01-18,6913
2011-01-19,6851
2011-01-20,5589
2011-01-21,5410
2011-01-22,5640
2011-01-23,6700
2011-01-24,6562
2011-01-25,5172
2011-01-26,3874
2011-01-27,4574
2011-01-28,6106
2011-01-29,6258
2011-01-30,5420
2011-01-31,4987
2011-02-01,4975
2011-02-02,4967
2011-02-03,4944
2011-02-04,4451
2011-02-05,4005
2011-02-06,3781
2011-02-07,3544
2011-02-08,3026
2011-02-09,2701
2011-02-10,3209
2011-02-11,4469
2011-02-12,4140
2011-02-13,3607
2011-02-14,3043
2011-02-15,2803
2011-02-16,2578
2011-02-17,3348
2011-02-18,4366
2011-02-19,4535
2011-02-20,4081
2011-02-21,3103
2011-02-22,2839
2011-02-23,2931
2011-02-24,3765
2011-02-25,4474
2011-02-26,4564
2011-02-27,4447
2011-02-28,4353
