"date","load"
2011-01-01,5380
2011-01-02,5517
2011-01-03,5430
2011-01-04,5431
2011-01-05,5488
2011-01-06,5503
2011-01-07,5642
2011-01-08,5877
2011-01-09,5887
2011-01-10,5719
2011-01-11,5675
2011-01-12,5702
2011-01-13,5694
2011-01-14,5818
2011-01-15,6042
2011-01-16,6036
2011-01-17,5849
2011-01-18,5788
2011-01-19,5801
2011-01-20,5778
2011-01-21,5889
2011-01-22,6100
2011-01-23,6078
2011-01-24,5874
2011-01-25,5798
2011-01-26,5796
2011-01-27,5758
2011-01-28,5853
2011-01-29,6048
2011-01-30,6010
2011-01-31,5794
2011-02-01,5705
2011-02-02,5689
2011-02-03,5637
2011-02-04,5716
2011-02-05,5891
2011-02-06,5841
2011-02-07,5618
2011-02-08,5518
2011-02-09,5490
2011-02-10,5427
2011-02-11,5492
2011-02-12,5648
2011-02-13,5588
2011-02-14,5363
2011-02-15,5257
2011-02-16,5220
2011-02-17,5151
2011-02-18,5202
2011-02-19,5341
2011-02-20,5275
2011-02-21,5054
2011-02-22,4947
2011-02-23,4905
2011-02-24,4833
2011-02-25,4875
2011-02-26,4998
2011-02-27,4930
2011-02-28,4719
